transaction_id,transaction_reference,account_id,transaction_date,transaction_type,amount,currency,channel,merchant_name,created_at
22,TXN0000000022,40,2026-02-26 01:51:20,deposit,64922.76,npr,ATM,Daraz,2026-02-26 02:33:20
23,TXN0000000023,12,2026-01-09 09:09:34,Deposit,21441.44,npr,POS,Daraz,2026-01-09 09:35:34
24,TXN0000000024,54,2026-01-03 13:30:26,withdrawal,20325.48,npr,POS,Daraz,2026-01-03 14:05:26
25,TXN0000000025,78,2026-03-01 01:12:27,Withdrawal,15469.43,npr,POS,Daraz,2026-03-01 01:48:27
26,TXN0000000026,65,2025-12-23 11:02:36,InvalidTxnType,2111.28,NPR,POS,ATM Cash,2025-12-23 11:17:36
27,TXN0000000027,60,2026-01-30 20:50:41,Fee,3587.51,npr,POS,Khalti,2026-01-30 21:03:41
28,TXN0000000028,35,2026-03-10 06:07:36,withdrawal,29460.64,NPR,Internet Banking,,2026-03-10 06:48:36
29,TXN0000000029,1,2026-02-06 12:24:21,Withdrawal,12798.4,npr,Mobile Banking,,2026-02-06 13:01:21
30,TXN0000000030,24,2026-03-07 08:51:09,Transfer,66720.61,NPR,POS,Bhatbhateni,2026-03-07 09:18:09
31,TXN0000000031,11,2026-05-12 10:33:08,Transfer,65882.22,npr,,Khalti,2026-05-12 10:48:08
32,TXN0000000032,30,2026-04-18 17:13:34,Withdrawal,32443.18,USD,Internet Banking,Daraz,2026-04-18 18:08:34
33,TXN0000000033,105,2026-03-31 02:26:27,Deposit,7576.22,NPR,,Bhatbhateni,2026-03-31 02:39:27
34,TXN0000000034,23,2026-03-09 05:19:32,withdrawal,41206.94,USD,Branch,Bhatbhateni,2026-03-09 05:25:32
35,TXN0000000035,88,2026-04-27 08:06:49,Withdrawal,32309.08,NPR,Mobile Banking,,2026-04-27 08:46:49
36,TXN0000000036,9999,2026-01-17 13:44:00,Fee,23638.62,USD,Internet Banking,ATM Cash,2026-01-17 13:48:00
37,TXN0000000037,33,2025-12-13 14:27:05,Transfer,70510.39,NPR,POS,Daraz,2025-12-13 14:42:05
38,TXN0000000038,90,2026-04-20 20:49:47,Card Payment,9708.87,USD,Internet Banking,Bhatbhateni,2026-04-20 21:06:47
39,TXN0000000039,119,2026-01-12 01:49:13,deposit,72057.35,USD,,Esewa,2026-01-12 01:57:13
40,TXN0000000040,22,2025-12-31 07:43:04,Withdrawal,22832.08,npr,Mobile Banking,,2025-12-31 08:30:04
41,TXN0000000041,122,2026-03-02 19:21:15,Transfer,7368.84,USD,POS,,2026-03-02 20:01:15
42,TXN0000000042,132,2026-03-28 00:43:34,Withdrawal,12062.02,npr,,Esewa,2026-03-28 00:55:34
43,TXN0000000043,82,2026-01-30 07:45:41,Card Payment,19712.71,NPR,,ATM Cash,2026-01-30 08:03:41
44,TXN0000000044,3,2026-01-12 18:10:57,Deposit,28444.41,npr,POS,Khalti,2026-01-12 19:04:57
45,TXN0000000045,43,2026-04-18 04:10:58,Fee,19225.55,NPR,ATM,Bhatbhateni,2026-04-18 05:03:58
46,TXN0000000046,71,2026-02-08 11:36:31,withdrawal,21202.24,NPR,POS,Khalti,2026-02-08 11:45:31
47,TXN0000000047,30,2026-01-15 11:56:09,Card Payment,25739.47,npr,,Khalti,2026-01-15 12:31:09
48,TXN0000000048,135,2026-05-08 18:12:46,withdrawal,33433.0,npr,Internet Banking,Khalti,2026-05-08 18:48:46
49,TXN0000000049,22,2026-04-19 09:56:08,Withdrawal,8439.06,npr,Internet Banking,Esewa,2026-04-19 10:34:08
50,TXN0000000050,30,2026-05-18 11:21:07,Card Payment,49889.68,npr,POS,Khalti,2026-05-18 12:19:07
51,TXN0000000051,2,2026-01-16 08:18:20,Transfer,70719.79,USD,Branch,Bhatbhateni,2026-01-16 08:58:20
52,TXN0000000052,95,2026-03-04 03:21:36,withdrawal,33396.15,npr,ATM,ATM Cash,2026-03-04 03:24:36
53,TXN0000000053,15,2026-02-03 14:36:35,Card Payment,8085.49,USD,Internet Banking,Bhatbhateni,2026-02-03 15:22:35
54,TXN0000000054,41,2026-03-26 19:01:46,Transfer,118172.02,npr,Mobile Banking,ATM Cash,2026-03-26 19:48:46
55,TXN0000000055,103,2026-01-20 15:13:06,deposit,74688.99,USD,Branch,Bhatbhateni,2026-01-20 16:04:06
56,TXN0000000056,95,2026-05-08 08:51:23,Deposit,51458.35,NPR,POS,,2026-05-08 09:43:23
57,TXN0000000057,108,2026-03-13 18:29:10,Withdrawal,34719.7,USD,Internet Banking,Esewa,2026-03-13 19:09:10
58,TXN0000000058,103,2026-01-26 06:12:58,Transfer,30001.85,NPR,Branch,Khalti,2026-01-26 06:30:58
59,TXN0000000059,130,2026-01-13 06:13:48,Fee,20847.53,npr,Mobile Banking,ATM Cash,2026-01-13 06:33:48
60,TXN0000000060,137,2026-02-18 22:01:01,Card Payment,5802.5,USD,Mobile Banking,,2026-02-18 22:50:01
61,TXN0000000061,74,2026-04-08 16:35:04,Withdrawal,34868.75,npr,Internet Banking,Bhatbhateni,2026-04-08 16:45:04
62,TXN0000000062,59,2026-04-23 01:57:13,Withdrawal,20671.65,npr,Mobile Banking,Khalti,2026-04-23 02:14:13
63,TXN0000000063,45,2026-05-07 20:18:39,deposit,21507.17,NPR,POS,Bhatbhateni,2026-05-07 20:37:39
64,TXN0000000064,109,2025-12-23 06:04:55,Fee,7272.32,NPR,POS,,2025-12-23 07:01:55
65,TXN0000000065,96,2026-03-15 14:29:51,Card Payment,27904.35,NPR,ATM,Bhatbhateni,2026-03-15 15:29:51
66,TXN0000000066,69,2026-05-03 01:29:43,withdrawal,36438.57,NPR,Branch,ATM Cash,2026-05-03 01:52:43
67,TXN0000000067,72,2026-04-30 02:08:20,Transfer,15481.01,NPR,,ATM Cash,2026-04-30 02:27:20
68,TXN0000000068,95,2026-02-26 03:48:44,Withdrawal,40440.51,NPR,ATM,Khalti,2026-02-26 04:17:44
69,TXN0000000069,94,2026-04-05 12:32:43,deposit,37698.73,npr,ATM,Esewa,2026-04-05 13:08:43
70,TXN0000000070,57,2025-12-17 03:07:56,Deposit,43742.15,USD,Internet Banking,Daraz,2025-12-17 03:48:56
71,TXN0000000071,12,2025-12-19 17:57:10,Fee,23929.32,USD,Mobile Banking,Khalti,2025-12-19 18:22:10
72,TXN0000000072,70,2026-01-06 15:12:07,withdrawal,447.72,USD,Mobile Banking,Daraz,2026-01-06 15:49:07
73,TXN0000000073,105,2026-06-02 17:51:41,Withdrawal,20592.22,USD,ATM,Bhatbhateni,2026-06-02 18:51:41
74,TXN0000000074,73,2026-04-17 04:57:51,Card Payment,49498.78,NPR,POS,ATM Cash,2026-04-17 05:38:51
75,TXN0000000075,75,2026-03-31 09:56:50,Fee,22426.0,USD,,,2026-03-31 10:55:50
76,TXN0000000076,47,2026-02-28 17:24:18,Card Payment,35921.58,USD,,Daraz,2026-02-28 17:37:18
77,TXN0000000077,97,2026-03-17 02:58:25,Transfer,62815.89,npr,ATM,Esewa,2026-03-17 03:36:25
78,TXN0000000078,102,2026-01-28 06:35:07,Deposit,43877.46,NPR,POS,Bhatbhateni,2026-01-28 06:47:07
79,TXN0000000079,30,2026-01-18 08:19:53,Card Payment,33565.96,npr,ATM,Esewa,2026-01-18 09:07:53
80,TXN0000000080,99,2026-04-11 00:50:38,Withdrawal,19489.44,NPR,Mobile Banking,ATM Cash,2026-04-11 01:17:38
81,TXN0000000081,101,2026-04-12 18:48:47,Withdrawal,16889.96,npr,Branch,Daraz,2026-04-12 18:51:47
82,TXN0000000082,16,2026-05-29 20:23:13,Deposit,58567.53,npr,ATM,Daraz,2026-05-29 20:34:13
83,TXN0000000083,139,2026-04-02 15:22:10,Card Payment,39552.21,NPR,Internet Banking,,2026-04-02 16:21:10
84,TXN0000000084,48,2025-12-08 15:42:28,Deposit,21785.06,npr,Branch,Daraz,2025-12-08 16:28:28
85,TXN0000000085,63,2026-05-13 05:18:13,withdrawal,42736.1,npr,,ATM Cash,2026-05-13 05:58:13
86,TXN0000000086,44,2025-12-15 03:25:30,Deposit,21479.02,npr,ATM,Bhatbhateni,2025-12-15 03:38:30
87,TXN0000000087,70,2026-01-13 04:22:01,Deposit,57605.19,npr,,Bhatbhateni,2026-01-13 05:20:01
88,TXN0000000088,134,2026-04-27 03:12:59,Fee,13673.1,NPR,Branch,ATM Cash,2026-04-27 03:39:59
89,TXN0000000089,90,2026-05-24 05:10:07,Withdrawal,35176.25,NPR,ATM,Bhatbhateni,2026-05-24 05:52:07
90,TXN0000000090,66,2026-05-22 00:41:31,Withdrawal,33382.55,NPR,Internet Banking,Bhatbhateni,2026-05-22 01:04:31
91,TXN0000000091,124,2026-01-12 16:30:40,Deposit,48724.52,NPR,POS,Esewa,2026-01-12 17:17:40
92,TXN0000000092,30,2025-12-28 09:19:31,withdrawal,28552.71,NPR,,Khalti,2025-12-28 09:44:31
93,TXN0000000093,74,2026-03-28 08:59:50,Fee,31655.03,USD,Internet Banking,Esewa,2026-03-28 09:42:50
94,TXN0000000094,30,2026-05-19 15:39:15,Card Payment,21441.74,USD,,,2026-05-19 16:33:15
95,TXN0000000095,42,2026-04-02 15:04:28,Deposit,53157.85,NPR,Branch,Daraz,2026-04-02 15:37:28
96,TXN0000000096,104,2026-03-30 19:52:41,withdrawal,47882.08,USD,,ATM Cash,2026-03-30 20:27:41
97,TXN0000000097,118,2026-03-25 08:24:56,Fee,25509.65,USD,Internet Banking,Esewa,2026-03-25 09:05:56
98,TXN0000000098,94,2026-02-12 03:31:24,Deposit,27374.61,USD,Mobile Banking,,2026-02-12 03:55:24
99,TXN0000000099,43,2026-04-12 18:02:38,Card Payment,4834.92,npr,ATM,ATM Cash,2026-04-12 18:20:38
100,TXN0000000100,92,2026-04-06 21:02:10,withdrawal,936.88,npr,POS,ATM Cash,2026-04-06 21:29:10
101,TXN0000000101,81,2026-04-30 00:50:21,Card Payment,48417.07,NPR,ATM,Esewa,2026-04-30 01:23:21
102,TXN0000000102,26,2026-01-13 12:57:06,Fee,253.02,npr,Branch,Daraz,2026-01-13 13:30:06
103,TXN0000000103,103,2026-04-29 11:16:46,Transfer,67841.97,USD,Branch,,2026-04-29 11:57:46
104,TXN0000000104,98,2026-04-21 07:09:23,Deposit,11810.74,USD,ATM,Esewa,2026-04-21 07:22:23
105,TXN0000000105,128,2026-05-11 06:05:41,Deposit,37038.79,USD,ATM,,2026-05-11 07:05:41
106,TXN0000000106,81,2026-02-03 03:30:55,deposit,52852.74,USD,,Khalti,2026-02-03 04:29:55
107,TXN0000000107,64,2026-01-12 07:24:40,Deposit,21431.84,USD,Internet Banking,Esewa,2026-01-12 08:17:40
108,TXN0000000108,79,2025-12-29 23:53:12,withdrawal,538.9,NPR,,Daraz,2025-12-30 00:38:12
109,TXN0000000109,7,2026-05-15 11:44:38,withdrawal,7251.73,NPR,Internet Banking,Esewa,2026-05-15 12:10:38
110,TXN0000000110,59,2026-01-14 05:13:52,Card Payment,2642.51,npr,ATM,Khalti,2026-01-14 05:25:52
111,TXN0000000111,79,2025-12-16 22:00:15,Card Payment,33031.1,NPR,Branch,ATM Cash,2025-12-16 22:01:15
112,TXN0000000112,36,2025-12-05 14:19:40,deposit,38612.53,npr,,Esewa,2025-12-05 14:59:40
113,TXN0000000113,99,2025-12-16 12:20:29,Deposit,63947.97,npr,ATM,Bhatbhateni,2025-12-16 12:43:29
114,TXN0000000114,49,2026-05-25 16:17:26,Transfer,119423.84,NPR,Mobile Banking,,2026-05-25 17:01:26
115,TXN0000000115,107,2026-05-09 00:44:43,Card Payment,38983.22,npr,Mobile Banking,Khalti,2026-05-09 00:47:43
116,TXN0000000116,4,2026-01-17 21:25:52,withdrawal,5133.27,USD,Internet Banking,Bhatbhateni,2026-01-17 22:19:52
117,TXN0000000117,116,2026-01-01 08:39:58,Fee,35542.44,NPR,Branch,Daraz,2026-01-01 09:31:58
118,TXN0000000118,83,2026-01-18 21:36:00,Transfer,148801.45,npr,,Esewa,2026-01-18 21:52:00
119,TXN0000000119,5,2026-05-04 03:23:28,Withdrawal,6245.61,NPR,ATM,Esewa,2026-05-04 04:18:28
120,TXN0000000120,29,2025-12-11 18:40:55,deposit,70814.17,USD,,Khalti,2025-12-11 19:27:55
121,TXN0000000121,94,2026-04-17 07:37:42,Card Payment,44036.17,USD,ATM,ATM Cash,2026-04-17 07:38:42
122,TXN0000000122,13,2026-05-19 23:13:16,Fee,30512.02,NPR,,Daraz,2026-05-19 23:50:16
123,TXN0000000123,116,2026-05-11 21:07:25,Withdrawal,42785.92,NPR,,ATM Cash,2026-05-11 21:16:25
124,TXN0000000124,115,2026-03-03 23:14:54,Transfer,67842.16,NPR,Branch,Esewa,2026-03-03 23:35:54
125,TXN0000000125,62,2026-04-22 04:39:20,Deposit,74761.08,NPR,,Bhatbhateni,2026-04-22 04:41:20
126,TXN0000000126,11,2026-03-25 10:28:02,withdrawal,49887.93,npr,Mobile Banking,ATM Cash,2026-03-25 11:06:02
127,TXN0000000127,18,2026-05-19 10:49:15,Card Payment,2642.06,USD,Mobile Banking,Bhatbhateni,2026-05-19 11:18:15
128,TXN0000000128,117,2025-12-23 15:42:02,Card Payment,39494.88,NPR,Mobile Banking,ATM Cash,2025-12-23 15:57:02
129,TXN0000000129,59,2026-04-02 12:22:55,deposit,1512.13,USD,ATM,Esewa,2026-04-02 12:33:55
130,TXN0000000130,116,2026-02-22 08:00:20,Fee,40562.56,USD,Internet Banking,Daraz,2026-02-22 08:05:20
131,TXN0000000131,11,2026-03-09 10:56:33,Transfer,120833.77,npr,,Daraz,2026-03-09 11:10:33
132,TXN0000000132,1,2026-04-24 16:22:36,withdrawal,1060.04,npr,ATM,Khalti,2026-04-24 17:09:36
133,TXN0000000133,127,2025-12-29 18:31:25,Transfer,49910.5,npr,Mobile Banking,Khalti,2025-12-29 18:51:25
134,TXN0000000134,77,2026-01-09 04:57:05,Card Payment,47109.45,NPR,POS,,2026-01-09 05:38:05
135,TXN0000000135,109,2026-01-28 14:23:02,Withdrawal,6632.96,NPR,,ATM Cash,2026-01-28 14:44:02
136,TXN0000000136,80,2026-03-26 19:26:14,Transfer,127539.94,npr,Branch,Daraz,2026-03-26 20:20:14
137,TXN0000000137,139,2026-05-08 20:20:34,deposit,99889.68,NPR,Mobile Banking,,2026-05-08 20:36:34
138,TXN0000000138,128,2026-06-01 03:25:31,Withdrawal,37154.26,npr,Mobile Banking,Daraz,2026-06-01 04:10:31
139,TXN0000000139,95,2026-05-29 13:23:31,Card Payment,23641.35,npr,POS,ATM Cash,2026-05-29 13:29:31
140,TXN0000000140,51,2026-03-23 13:48:44,Deposit,65305.12,USD,Branch,Bhatbhateni,2026-03-23 14:13:44
141,TXN0000000141,137,2026-05-01 04:48:47,Fee,30864.31,NPR,Branch,Khalti,2026-05-01 05:20:47
142,TXN0000000142,76,2026-02-13 15:12:37,Transfer,87475.36,npr,Internet Banking,Bhatbhateni,2026-02-13 15:49:37
143,TXN0000000143,34,2026-04-23 01:56:53,withdrawal,43728.52,npr,Internet Banking,,2026-04-23 02:46:53
144,TXN0000000144,19,2026-04-28 01:45:00,Transfer,97070.99,USD,Branch,,2026-04-28 02:39:00
145,TXN0000000145,8,2026-02-06 15:46:55,Card Payment,36612.23,NPR,Internet Banking,ATM Cash,2026-02-06 16:45:55
146,TXN0000000146,9,2026-01-20 06:43:26,Card Payment,24286.82,USD,,Esewa,2026-01-20 07:27:26
147,TXN0000000147,74,2026-01-12 23:58:58,Deposit,25884.09,npr,Branch,Bhatbhateni,2026-01-13 00:15:58
148,TXN0000000148,97,2026-05-25 03:44:07,deposit,87494.3,NPR,ATM,Esewa,2026-05-25 03:57:07
149,TXN0000000149,30,2026-04-05 02:38:20,Fee,2136.98,NPR,Branch,Khalti,2026-04-05 02:47:20
150,TXN0000000150,128,2025-12-15 15:56:29,Transfer,100451.38,NPR,Mobile Banking,Khalti,2025-12-15 16:31:29
151,TXN0000000151,114,2026-03-25 18:37:50,Transfer,17652.63,USD,POS,Khalti,2026-03-25 19:19:50
152,TXN0000000152,48,2026-03-18 00:59:36,Fee,16365.01,npr,Branch,Khalti,2026-03-18 01:39:36
153,TXN0000000153,139,2026-04-17 18:52:55,Fee,42779.25,npr,Mobile Banking,Bhatbhateni,2026-04-17 19:49:55
154,TXN0000000154,80,2026-05-17 12:32:19,withdrawal,38858.16,NPR,Internet Banking,ATM Cash,2026-05-17 13:05:19
155,TXN0000000155,18,2026-04-29 07:39:42,deposit,91011.67,npr,,Daraz,2026-04-29 07:46:42
156,TXN0000000156,4,2026-02-23 21:39:26,Withdrawal,48128.93,NPR,Mobile Banking,ATM Cash,2026-02-23 22:08:26
157,TXN0000000157,113,2026-02-26 13:23:51,Transfer,3822.96,USD,Internet Banking,Daraz,2026-02-26 14:16:51
158,TXN0000000158,124,2026-05-15 09:40:49,Withdrawal,29822.36,NPR,POS,Esewa,2026-05-15 10:35:49
159,TXN0000000159,115,2026-02-16 07:57:55,Card Payment,9358.5,USD,,Esewa,2026-02-16 08:57:55
160,TXN0000000160,15,2026-05-02 16:56:04,withdrawal,34941.56,USD,Branch,,2026-05-02 17:33:04
161,TXN0000000161,64,2026-03-05 07:32:21,Deposit,71130.03,USD,Internet Banking,,2026-03-05 07:46:21
162,TXN0000000162,61,2025-12-20 03:06:54,Card Payment,22310.2,npr,Branch,Khalti,2025-12-20 03:12:54
163,TXN0000000163,45,2026-02-24 14:49:43,deposit,19163.23,USD,Branch,Esewa,2026-02-24 14:59:43
164,TXN0000000164,134,2026-05-17 12:58:03,Deposit,55948.74,NPR,Branch,Khalti,2026-05-17 12:59:03
165,TXN0000000165,25,2026-04-20 03:09:54,deposit,14480.94,npr,POS,Daraz,2026-04-20 03:38:54
166,TXN0000000166,95,2026-01-04 00:49:12,Card Payment,8326.12,USD,Mobile Banking,Daraz,2026-01-04 01:10:12
167,TXN0000000167,4,2026-04-16 22:15:08,Transfer,28490.13,NPR,Branch,Esewa,2026-04-16 22:50:08
168,TXN0000000168,2,2026-04-26 15:03:55,Deposit,96155.85,USD,ATM,ATM Cash,2026-04-26 15:32:55
169,TXN0000000169,72,2025-12-12 17:22:26,Card Payment,30839.68,npr,Branch,Esewa,2025-12-12 17:37:26
170,TXN0000000170,13,2026-04-01 14:35:01,Deposit,52810.74,USD,Branch,Daraz,2026-04-01 14:53:01
171,TXN0000000171,102,2026-02-18 18:33:34,Fee,10447.67,USD,POS,Esewa,2026-02-18 18:38:34
172,TXN0000000172,66,2026-03-30 00:12:42,withdrawal,48254.59,NPR,,,2026-03-30 01:07:42
173,TXN0000000173,35,2026-03-03 13:51:21,Fee,48764.98,USD,ATM,Khalti,2026-03-03 14:42:21
174,TXN0000000174,127,2026-04-04 15:58:12,deposit,66085.26,npr,Mobile Banking,Bhatbhateni,2026-04-04 16:37:12
175,TXN0000000175,47,2025-12-17 05:46:03,Deposit,86842.93,npr,POS,Esewa,2025-12-17 05:53:03
176,TXN0000000176,18,2026-03-18 07:41:54,Withdrawal,39461.3,npr,Mobile Banking,ATM Cash,2026-03-18 08:23:54
177,TXN0000000177,50,2026-04-10 11:24:56,Withdrawal,17961.43,NPR,Branch,ATM Cash,2026-04-10 12:14:56
178,TXN0000000178,94,2026-04-29 17:32:22,Deposit,64216.14,npr,Branch,,2026-04-29 18:28:22
179,TXN0000000179,80,2025-12-14 18:36:40,Withdrawal,26180.28,npr,ATM,Daraz,2025-12-14 19:33:40
180,TXN0000000180,28,2026-05-09 20:46:15,Transfer,102459.44,NPR,POS,Bhatbhateni,2026-05-09 21:16:15
181,TXN0000000181,35,2025-12-31 19:44:04,Card Payment,7834.77,NPR,Branch,Bhatbhateni,2025-12-31 20:04:04
182,TXN0000000182,47,2026-02-08 05:14:36,Deposit,80439.25,NPR,,Daraz,2026-02-08 05:26:36
183,TXN0000000183,129,2026-05-22 19:49:44,Withdrawal,21076.18,USD,Branch,Esewa,2026-05-22 20:24:44
184,TXN0000000184,76,2026-03-30 05:30:53,deposit,67133.59,npr,POS,Esewa,2026-03-30 05:47:53
185,TXN0000000185,3,2025-12-22 00:56:49,Deposit,51214.2,USD,Mobile Banking,Esewa,2025-12-22 01:31:49
186,TXN0000000186,36,2026-05-16 13:44:50,Card Payment,49089.67,USD,ATM,Daraz,2026-05-16 14:01:50
187,TXN0000000187,22,2026-05-02 04:20:09,Fee,7138.46,USD,ATM,,2026-05-02 04:23:09
188,TXN0000000188,88,2025-12-26 18:38:51,Fee,19532.07,USD,Internet Banking,,2025-12-26 19:27:51
189,TXN0000000189,28,2026-03-14 21:05:47,Withdrawal,18504.97,npr,Internet Banking,Esewa,2026-03-14 21:28:47
190,TXN0000000190,79,2026-03-24 06:49:05,Deposit,12337.83,NPR,Internet Banking,Daraz,2026-03-24 07:38:05
191,TXN0000000191,123,2025-12-30 02:22:21,Card Payment,27051.88,USD,,Khalti,2025-12-30 02:45:21
192,TXN0000000192,57,2026-04-11 23:39:25,Fee,30969.03,USD,Mobile Banking,Khalti,2026-04-12 00:29:25
193,TXN0000000193,18,2026-04-17 03:51:28,deposit,63180.96,npr,,,2026-04-17 04:09:28
194,TXN0000000194,27,2026-01-17 08:22:58,Transfer,49217.75,NPR,Mobile Banking,Khalti,2026-01-17 09:13:58
195,TXN0000000195,83,2026-02-02 19:02:49,Deposit,50788.58,npr,Mobile Banking,Esewa,2026-02-02 19:31:49
196,TXN0000000196,22,2025-12-26 04:07:39,deposit,12082.16,NPR,POS,Daraz,2025-12-26 04:08:39
197,TXN0000000197,71,2026-02-02 16:25:28,Deposit,36125.31,npr,Mobile Banking,,2026-02-02 17:03:28
198,TXN0000000198,106,2025-12-30 16:40:40,deposit,90834.81,npr,Mobile Banking,Khalti,2025-12-30 17:02:40
199,TXN0000000199,125,2026-03-23 16:06:45,withdrawal,14460.96,npr,,Bhatbhateni,2026-03-23 16:55:45
200,TXN0000000200,45,2026-04-12 12:02:05,Fee,12621.27,USD,Mobile Banking,,2026-04-12 12:08:05
201,TXN0000000201,64,2026-02-09 00:41:03,Transfer,93639.46,USD,Mobile Banking,Bhatbhateni,2026-02-09 01:13:03
202,TXN0000000202,84,2026-01-02 12:41:16,Fee,38152.12,NPR,ATM,Esewa,2026-01-02 12:42:16
203,TXN0000000203,95,2026-05-06 05:10:06,Fee,17666.57,npr,,Khalti,2026-05-06 05:44:06
204,TXN0000000204,77,2026-03-29 06:33:46,Fee,38692.91,USD,,Bhatbhateni,2026-03-29 07:13:46
205,TXN0000000205,72,2026-02-04 11:07:51,Card Payment,6865.94,USD,Internet Banking,Bhatbhateni,2026-02-04 12:07:51
206,TXN0000000206,7,2026-01-27 10:17:11,Card Payment,6852.97,npr,Internet Banking,Bhatbhateni,2026-01-27 11:01:11
207,TXN0000000207,103,2026-01-05 15:25:32,Card Payment,26129.51,NPR,Mobile Banking,Khalti,2026-01-05 16:00:32
208,TXN0000000208,108,2026-03-23 18:47:48,Fee,3178.2,NPR,Mobile Banking,ATM Cash,2026-03-23 19:33:48
209,TXN0000000209,9,2026-01-06 04:03:13,Withdrawal,25192.81,NPR,Mobile Banking,ATM Cash,2026-01-06 04:25:13
210,TXN0000000210,76,2026-01-27 16:15:53,Fee,26901.84,npr,Internet Banking,ATM Cash,2026-01-27 17:01:53
211,TXN0000000211,26,2026-04-18 03:16:58,Fee,44946.78,npr,,Khalti,2026-04-18 04:05:58
212,TXN0000000212,76,2026-04-10 17:37:35,Fee,17317.4,USD,,Esewa,2026-04-10 18:06:35
213,TXN0000000213,80,2026-01-27 18:06:59,Card Payment,41245.69,npr,Branch,Bhatbhateni,2026-01-27 18:20:59
214,TXN0000000214,39,2026-01-21 06:59:36,Fee,42465.88,npr,POS,Bhatbhateni,2026-01-21 07:06:36
215,TXN0000000215,108,2026-01-28 18:50:42,Card Payment,49600.79,USD,ATM,Esewa,2026-01-28 19:31:42
216,TXN0000000216,108,2026-01-25 23:45:30,Card Payment,16771.19,USD,Internet Banking,Daraz,2026-01-26 00:07:30
217,TXN0000000217,89,2026-02-19 01:19:07,Card Payment,49502.08,USD,Internet Banking,Esewa,2026-02-19 01:34:07
218,TXN0000000218,102,2026-05-05 01:02:50,Fee,25485.57,NPR,Mobile Banking,Daraz,2026-05-05 01:57:50
219,TXN0000000219,40,2026-03-17 04:10:10,Transfer,97449.29,NPR,ATM,ATM Cash,2026-03-17 04:42:10
220,TXN0000000220,26,2026-01-20 11:55:20,Card Payment,28941.98,npr,Mobile Banking,Bhatbhateni,2026-01-20 12:28:20
221,TXN0000000221,16,2026-05-05 04:53:52,Transfer,123934.75,USD,ATM,Esewa,2026-05-05 05:40:52
222,TXN0000000222,6,2026-03-10 23:28:44,Card Payment,49160.54,USD,POS,ATM Cash,2026-03-11 00:22:44
223,TXN0000000223,13,2026-01-07 06:19:35,deposit,66335.6,NPR,,Khalti,2026-01-07 06:35:35
224,TXN0000000224,43,2026-04-17 02:19:35,Withdrawal,44806.41,USD,,Bhatbhateni,2026-04-17 02:29:35
225,TXN0000000225,48,2026-01-20 16:31:53,Card Payment,46701.48,npr,Internet Banking,Esewa,2026-01-20 16:55:53
